band,n,r2,mae,mape,mdape
Overall,22644,0.8897642741883105,145869.4671388716,2.0453582501983307,0.16632043777419303
Q1 (lowest),5674,-51.36332150347944,39728.350279557795,7.638680039459222,4.158700011732674
Q2,5664,0.09226345105830336,84647.25546420022,0.22992151491320523,0.12220449901557054
Q3,5652,-0.739367694025999,117087.53931119578,0.13579553768421015,0.09622231028583277
Q4 (highest),5654,0.7013835854407231,342488.2786116535,0.15978596288288557,0.12172085826468107
